frame,robot_hand_x,robot_hand_y,robot_hand_z,human_hand_x,human_hand_y,human_hand_z,object_x,object_y,object_z
1400,0.6096675992012024,-0.358828067779541,1.8343656063079834,0.5430158972740173,0.1853465437889099,1.093034029006958,0.5627277493476868,0.14160199463367462,1.1448191404342651
1410,0.6096675992012024,-0.3588278591632843,1.8343658447265625,0.5444612503051758,0.18382829427719116,1.0976533889770508,0.5628160238265991,0.14000001549720764,1.1510090827941895
1420,0.6096676588058472,-0.3588276505470276,1.8343660831451416,0.5459660887718201,0.18216994404792786,1.1024117469787598,0.5623494982719421,0.13845333456993103,1.1571120023727417
1430,0.6096676588058472,-0.3588274419307709,1.8343662023544312,0.5477054715156555,0.1802467554807663,1.1073672771453857,0.5615366101264954,0.13692636787891388,1.1631581783294678
1440,0.6096676588058472,-0.35882726311683655,1.8343663215637207,0.549854576587677,0.177933931350708,1.11257803440094,0.5606105327606201,0.13537874817848206,1.1691828966140747
1450,0.6096677184104919,-0.3588270843029022,1.8343665599822998,0.5525010824203491,0.1751682609319687,1.1180607080459595,0.5597840547561646,0.1337733417749405,1.1752140522003174
1460,0.6096677184104919,-0.3588269054889679,1.8343666791915894,0.555383026599884,0.17213274538516998,1.1236655712127686,0.5591089725494385,0.13209909200668335,1.1812303066253662
1470,0.6096677184104919,-0.35882675647735596,1.8343669176101685,0.5581510066986084,0.16907191276550293,1.1292011737823486,0.5585269927978516,0.13036280870437622,1.1871756315231323
1480,0.6096677780151367,-0.358826607465744,1.834367036819458,0.5604555010795593,0.16623032093048096,1.134476661682129,0.5579636693000793,0.1285739243030548,1.192989468574524
1490,0.6096677780151367,-0.3588264584541321,1.8343671560287476,0.5620505809783936,0.16378241777420044,1.139356255531311,0.5573534369468689,0.1267484873533249,1.1986175775527954
1500,0.6096677780151367,-0.35882633924484253,1.834367275238037,0.5631038546562195,0.1616223305463791,1.1439281702041626,0.5567036867141724,0.12494653463363647,1.204054355621338
1510,0.6096677780151367,-0.358826220035553,1.8343673944473267,0.5638863444328308,0.15957404673099518,1.1483362913131714,0.5560719966888428,0.12325822561979294,1.2093274593353271
1520,0.6096678376197815,-0.3588261008262634,1.8343675136566162,0.5646691918373108,0.15746161341667175,1.152724266052246,0.5555230975151062,0.12177806347608566,1.214469313621521
1530,0.6096678376197815,-0.3588259816169739,1.8343676328659058,0.5656543374061584,0.15516416728496552,1.1572061777114868,0.5551102757453918,0.1205858439207077,1.2195104360580444
1540,0.6096678376197815,-0.3588258624076843,1.8343677520751953,0.5667675733566284,0.1527814418077469,1.1617759466171265,0.5548034310340881,0.11965647339820862,1.2244623899459839
1550,0.6096678376197815,-0.35882577300071716,1.8343678712844849,0.5678658485412598,0.15046828985214233,1.1663974523544312,0.5545146465301514,0.11889295279979706,1.2293241024017334
1560,0.6096678376197815,-0.3588256537914276,1.8343679904937744,0.5688058733940125,0.1483795940876007,1.1710346937179565,0.5541481375694275,0.11818784475326538,1.2340928316116333
1570,0.6096678972244263,-0.35882556438446045,1.834368109703064,0.5694860219955444,0.14662490785121918,1.1756596565246582,0.5536231994628906,0.11743880808353424,1.2387638092041016
1580,0.6096678972244263,-0.3588254749774933,1.8343682289123535,0.5699707269668579,0.14513258635997772,1.18027663230896,0.5529718995094299,0.11658622324466705,1.243323802947998
1590,0.6096678972244263,-0.3588254153728485,1.834368348121643,0.5703659653663635,0.14378571510314941,1.1848974227905273,0.5523036122322083,0.11559984087944031,1.247753620147705
1600,0.6096678972244263,-0.35882532596588135,1.8343684673309326,0.5707777142524719,0.14246737957000732,1.1895341873168945,0.5517388582229614,0.11445364356040955,1.2520328760147095
1610,0.6096678972244263,-0.3588252663612366,1.8343685865402222,0.5712863802909851,0.1410934031009674,1.1941825151443481,0.5513832569122314,0.11313671618700027,1.2561463117599487
1620,0.609667956829071,-0.3588251769542694,1.8343685865402222,0.5718704462051392,0.1397106647491455,1.1987704038619995,0.5512320399284363,0.11173897981643677,1.26011323928833
1630,0.609667956829071,-0.35882511734962463,1.8343687057495117,0.572482705116272,0.13839884102344513,1.203209400177002,0.55120450258255,0.11041946709156036,1.2639766931533813
1640,0.609667956829071,-0.35882505774497986,1.8343688249588013,0.573076069355011,0.13723759353160858,1.2074111700057983,0.5512089133262634,0.10934724658727646,1.267783284187317
1650,0.609667956829071,-0.3588249981403351,1.8343688249588013,0.5736211538314819,0.13628552854061127,1.2113209962844849,0.5511578321456909,0.10866664350032806,1.2715749740600586
1660,0.609667956829071,-0.3588249385356903,1.8343689441680908,0.5741591453552246,0.1355171650648117,1.2150204181671143,0.5510018467903137,0.10834402590990067,1.275359869003296
1670,0.609667956829071,-0.35882487893104553,1.8343690633773804,0.5747490525245667,0.13488592207431793,1.2186245918273926,0.5507174134254456,0.10822372883558273,1.279123067855835
1680,0.609667956829071,-0.35882481932640076,1.8343690633773804,0.5754497051239014,0.13434529304504395,1.2222487926483154,0.5502849817276001,0.10813235491514206,1.2828459739685059
1690,0.6096680164337158,-0.358824759721756,1.83436918258667,0.5762900114059448,0.1338559091091156,1.2259680032730103,0.5496972799301147,0.1079179123044014,1.2865110635757446
1700,0.6096680164337158,-0.3588247299194336,1.83436918258667,0.5771785378456116,0.13340726494789124,1.2296948432922363,0.5490306615829468,0.1075887382030487,1.290107250213623
1710,0.6096680164337158,-0.3588246703147888,1.8343693017959595,0.5779936909675598,0.13299599289894104,1.2333017587661743,0.5484185814857483,0.10726325213909149,1.2936280965805054
1720,0.6096680164337158,-0.35882461071014404,1.8343693017959595,0.5786140561103821,0.1326187700033188,1.2366608381271362,0.5480027198791504,0.10707580298185349,1.2970681190490723
1730,0.6096680164337158,-0.35882458090782166,1.834369421005249,0.5789579153060913,0.13226914405822754,1.2396880388259888,0.5479050278663635,0.1071411594748497,1.300421118736267
1740,0.6096680164337158,-0.35882455110549927,1.834369421005249,0.5791034698486328,0.13192814588546753,1.242472767829895,0.548105001449585,0.10742712020874023,1.303675651550293
1750,0.6096680164337158,-0.3588244915008545,1.8343695402145386,0.5791686177253723,0.13157367706298828,1.2451481819152832,0.5484841465950012,0.1078006774187088,1.3068171739578247
1760,0.6096680164337158,-0.3588244616985321,1.8343695402145386,0.5792714357376099,0.1311836838722229,1.247847318649292,0.5489099621772766,0.10811416804790497,1.3098305463790894
